timestamp,relative_time,x,y,z,yaw,linear_x,linear_y,angular_z
1765241861.6175253,1.6643955707550049,0.11850000959704002,4.853885553914473e-13,0.0,4.511582081284054e-12,0.2000000000001549,0.0,-1.8214596497756474e-13
1765241861.6395507,1.6864209175109863,0.12250000959704313,5.034276759405549e-13,0.0,4.508025898158302e-12,0.2000000000001556,0.0,-1.734723475976807e-13
1765241861.659665,1.7065353393554688,0.12650000959704616,5.21452198791612e-13,0.0,4.504209506511153e-12,0.2000000000001542,0.0,-1.9081958235744878e-13
1765241861.6816258,1.7284960746765137,0.13050000959704594,5.394678919001611e-13,0.0,4.503862561815958e-12,0.1999999999999641,0.0,0.0
1765241861.7097032,1.7565734386444092,0.13450000959703712,5.575304572369933e-13,0.0,4.516699515538186e-12,0.20000000000015555,0.0,-1.734723475976807e-13
1765241861.7403824,1.78725266456604,0.13850000959704,5.75589743946509e-13,0.0,4.513056596238635e-12,0.2000000000001542,0.0,-1.9081958235744878e-13
1765241861.7586584,1.8055286407470703,0.1425000095970429,5.93634441631592e-13,0.0,4.509240204591486e-12,0.2000000000001542,0.0,-1.9081958235744878e-13
1765241861.7789805,1.8258507251739502,0.14650000959704462,6.116652788760954e-13,0.0,4.506985064072716e-12,0.20000000000002105,0.0,-5.204170427930421e-14
1765241861.7989035,1.845773696899414,0.1505000095970352,6.297134113136046e-13,0.0,4.519822017794944e-12,0.1999999999990981,0.0,1.2836953722228372e-12
1765241861.8273628,1.8742330074310303,0.15450000959703808,6.477851533376779e-13,0.0,4.516179098495393e-12,0.20000000000015555,0.0,-1.734723475976807e-13
1765241861.8462052,1.8930754661560059,0.15850000959704097,6.658422369483793e-13,0.0,4.512362706848244e-12,0.20000000000015694,0.0,-1.9081958235744878e-13
1765241861.8681836,1.9150538444519043,0.16250000959704336,6.838848529652883e-13,0.0,4.509240204591486e-12,0.20000000000009735,0.0,-1.3877787807814457e-13
